               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.020707,           0.0091459,                   0,             0.95674,             0.88049,             0.91849,             0.67407,             0.02215,            0.006264,                   0,            0.003334,            0.003334,            0.003334
                 103,             0.02082,            0.008583,                   0,             0.96957,             0.87902,             0.91913,              0.6803,            0.022559,           0.0060735,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.020571,           0.0087428,                   0,             0.97245,             0.86677,             0.91933,             0.65964,            0.023618,           0.0061951,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.020122,           0.0084288,                   0,             0.95353,             0.88055,             0.91834,             0.67636,            0.022301,           0.0061495,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.020363,           0.0084482,                   0,             0.96584,              0.8683,             0.91775,             0.67759,            0.021949,           0.0061054,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.020088,           0.0086127,                   0,             0.96637,             0.88055,             0.92313,             0.67999,            0.022082,           0.0059337,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.020133,           0.0084159,                   0,             0.96321,             0.88207,             0.92137,             0.67591,            0.022894,            0.005996,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.019412,           0.0087422,                   0,             0.96944,             0.87439,              0.9216,             0.67891,             0.02182,           0.0060695,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.019915,           0.0085814,                   0,             0.96158,             0.88208,             0.91981,             0.67053,            0.022704,           0.0060496,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.019876,           0.0084312,                   0,             0.96476,             0.88053,             0.92164,             0.67278,            0.022304,           0.0060965,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.019818,           0.0087006,                   0,             0.96939,             0.87443,             0.92529,             0.69202,            0.021334,           0.0059078,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.019811,           0.0083768,                   0,             0.96013,             0.88502,             0.92527,             0.68987,            0.021554,           0.0058928,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.019805,           0.0085231,                   0,             0.98107,             0.87283,             0.92341,              0.6828,            0.021948,           0.0058434,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.019247,           0.0085528,                   0,             0.96791,             0.87902,             0.92406,             0.70478,             0.02089,           0.0057759,                   0,            0.002476,            0.002476,            0.002476
                 116,             0.01926,           0.0085866,                   0,             0.97255,              0.8682,             0.92601,              0.6894,            0.021857,           0.0058177,                   0,             0.00241,             0.00241,             0.00241
                 117,             0.01915,           0.0082034,                   0,             0.96625,             0.87749,             0.92873,             0.68535,            0.022152,           0.0059113,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.018969,           0.0082278,                   0,             0.97275,             0.87902,             0.92948,             0.68749,            0.022317,           0.0058675,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.019051,           0.0081194,                   0,             0.97306,             0.88513,             0.92966,             0.69385,            0.021579,           0.0057631,                   0,            0.002212,            0.002212,            0.002212
                 120,             0.01838,           0.0079776,                   0,             0.97283,             0.87749,             0.92833,             0.69748,            0.021171,           0.0058684,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.018791,           0.0083563,                   0,             0.97783,             0.87902,             0.92466,             0.68755,            0.021836,           0.0058702,                   0,             0.00208,             0.00208,             0.00208
